Categoría,Subcategoría,Notas
Alimentación,Supermercado,
Alimentación,Verdulería/Carnicería,
Alimentación,Kiosko/Panadería,
Alimentación,Cafés/Snacks,
Alimentación,Delivery,PedidosYa / Rappi
Alimentación,Restaurantes/Bares,
Alimentación,Comidas con amigos,ej. asados
Alimentación,Comidas en pareja,
Salidas & Ocio,Salidas nocturnas,
Salidas & Ocio,Salidas en pareja,todo lo que no es comida
Salidas & Ocio,Cine/Teatro/Shows,
Salidas & Ocio,Eventos/Entradas,
Salidas & Ocio,Juegos,
Salidas & Ocio,Fútbol/Pádel,
Salidas & Ocio,Truco,
Salidas & Ocio,Libros/Videojuegos,
Compras & Hogar,Ropa/Calzado,
Compras & Hogar,Electrónica/Tecnología,
Compras & Hogar,Artículos hogar,
Compras & Hogar,Ferretería/Bazar,
Compras & Hogar,Regalos,
Transporte,Combustible,
Transporte,Uber/Cabify,incluye EBANX
Transporte,Transporte público,
Transporte,Estacionamiento/Peajes,
Transporte,Auto (service/cubiertas),
Transporte,Lavadero de auto,
Vivienda,Alquiler,ej. La Granjita (Estela Bustamante)
Vivienda,Expensas,
Vivienda,Cochera,
Vivienda,Servicios (luz/gas/agua),Ecogas
Vivienda,Teléfono,Personal (incluye internet/servicios)
Vivienda,Internet/Cable,cable/fibra aparte de Personal
Vivienda,Mudanza/Flete,
Vivienda,Mantenimiento,
Salud & Bienestar,Obra social/Prepaga,
Salud & Bienestar,Farmacia/Medicamentos,
Salud & Bienestar,Consultas médicas,
Salud & Bienestar,Dentista/Odontología,
Salud & Bienestar,Óptica/Lentes,
Salud & Bienestar,Psicóloga,
Salud & Bienestar,Nutricionista/Suplementos,
Salud & Bienestar,Belleza/Peluquería,
Suscripciones,Streaming,Netflix / Prime / HBO / Spotify / YouTube
Suscripciones,Software/Apps,Microsoft / Claude / Apple
Suscripciones,Membresías,Meli+
Suscripciones,Gimnasio,Qivox
Suscripciones,Club (cuota social),Talleres
Educación & Desarrollo,Cursos online,
Educación & Desarrollo,Libros técnicos,
Educación & Desarrollo,Universidad,
Impuestos & Tasas,Contador/Monotributo,
Impuestos & Tasas,AFIP/Rentas,
Impuestos & Tasas,Tasa Municipal,
Impuestos & Tasas,Patentes,
Impuestos & Tasas,Multas,
Impuestos & Tasas,Débito IVA 21%,
Impuestos & Tasas,IIBB Córdoba 3%,
Impuestos & Tasas,Impuesto al Sello,
Impuestos & Tasas,Percepción 30% (ex Imp. País),
Impuestos & Tasas,Percepción IVA Ss digitales,
Servicios financieros,Cuotas tarjeta,
Servicios financieros,Intereses/Comisiones,
Servicios financieros,Seguros tarjeta,
Servicios financieros,Retiro de efectivo/Cajero,
Mascotas,Comida mascota,
Mascotas,Veterinario,
Mascotas,Juguetes/Accesorios,
Viajes,Pasajes,
Viajes,Alojamiento,
Viajes,Comida en viaje,
Viajes,Actividades/Entradas,
Viajes,Ropa/Calzado viaje,
Viajes,Souvenirs/Shopping,
Ahorro & Inversiones,Aporte ahorro,reservas Vacaciones
Ahorro & Inversiones,Fondo emergencia,
Ahorro & Inversiones,Dólares,
Ahorro & Inversiones,Bolsa/Cripto,
Ingresos,Salario,relación de dependencia
Ingresos,Clientes/Freelance,honorarios de clientes / consultoría
Ingresos,Venta de bienes,
Ingresos,Transferencia Personal,ayuda familiar
Ingresos,Préstamos recibidos,
Ingresos,Reembolsos,
Ingresos,Intereses/Rendimientos,
Ingresos,Otros ingresos,
Movimiento,TRF Entre Cuentas,
Movimiento,Compra/venta de dólares,
Movimiento,Compensación,pago por otro que te reintegran (ej. pareja) — no es gasto ni ingreso
Otros/Imprevistos,Otros/Imprevistos,catch-all
Otros/Imprevistos,Donaciones,
