texto_contiene,tipo,subcategoria,observaciones
la celeste,Gasto,Kiosko/Panadería,
almacen el gringuito,Gasto,Kiosko/Panadería,
mercadito natural,Gasto,Kiosko/Panadería,
dolcheza,Gasto,Kiosko/Panadería,
mercato,Gasto,Verdulería/Carnicería,
polleria ambrosio,Gasto,Verdulería/Carnicería,
ebanx,Gasto,Uber/Cabify,procesador de pagos
rendimientos,Ingreso,Intereses/Rendimientos,
reserva por gastos vacaciones,Ahorro,Aporte ahorro,
dinero reservado vacaciones,Ahorro,Aporte ahorro,
compra de dolares,Movimiento,Compra/venta de dólares,cambio de tenencia
arca,Gasto,Contador/Monotributo,
meli+,Gasto,Membresías,
shell,Gasto,Combustible,
estela del valle bustamante,Gasto,Alquiler,La Granjita
municipalidad,Gasto,Tasa Municipal,
grandt,Gasto,Juegos,
deveredasas,Gasto,Cafés/Snacks,
hugos,Gasto,Restaurantes/Bares,
business ag,Gasto,Restaurantes/Bares,
fit factory,Gasto,Comidas con amigos,asados
cdel sas,Gasto,Fútbol/Pádel,
qivox,Gasto,Gimnasio,
pedidosya,Gasto,Delivery,
comision cuenta plus,Gasto,Intereses/Comisiones,
personal,Gasto,Teléfono,incluye internet y servicios
netflix,Gasto,Streaming,
primevideo,Gasto,Streaming,
hbo,Gasto,Streaming,
spotify,Gasto,Streaming,
youtube,Gasto,Streaming,
microsoft,Gasto,Software/Apps,
claude,Gasto,Software/Apps,
apple,Gasto,Software/Apps,
ecogas,Gasto,Servicios (luz/gas/agua),
talleres,Gasto,Club (cuota social),cuota social club
rappi,Gasto,Delivery,
carrefour,Gasto,Supermercado,
dolarapp mexico,Movimiento,Compra/venta de dólares,conversión/fondeo interno DolarApp (ARS<->USDc)
arcos dorados,Gasto,Restaurantes/Bares,McDonald's
perdu,Gasto,Kiosko/Panadería,panadería
tregua,Gasto,Restaurantes/Bares,bar
lojas renner,Gasto,Ropa/Calzado,
lfbazar,Gasto,Ferretería/Bazar,
intereses ganados,Ingreso,Intereses/Rendimientos,
tarjeta comisi,Gasto,Intereses/Comisiones,comisión DolarApp
pagos con tarjeta cr,Gasto,Intereses/Comisiones,comisión DolarApp
debito cuota 291-96,Gasto,Cuotas tarjeta,cuota préstamo (revisar taxonomía)
